tempo,mao,angulo,velocidade_px_s,tempo_up_s
17.86,Right,0.00,632.14,12.47
17.86,Left,0.00,357.95,0.00
17.92,Right,0.00,632.14,12.47
17.92,Left,0.00,390.68,0.00
17.98,Right,0.00,632.14,12.47
17.98,Left,0.00,406.67,0.00
18.04,Right,0.00,632.14,12.47
18.04,Left,0.00,340.58,0.00
18.10,Right,0.00,632.14,12.47
18.10,Left,0.00,343.44,0.00
18.16,Right,0.00,632.14,12.47
18.16,Left,0.00,375.72,0.00
18.22,Right,0.00,632.14,12.47
18.22,Left,0.00,250.39,0.00
18.28,Right,0.00,632.14,12.47
18.28,Left,0.00,189.83,0.00
18.33,Right,0.00,632.14,12.47
18.33,Left,0.00,164.43,0.00
18.39,Right,0.00,632.14,12.47
18.39,Left,0.00,262.25,0.00
18.45,Right,0.00,632.14,12.47
18.45,Left,0.00,235.21,0.00
18.51,Right,0.00,632.14,12.47
18.51,Left,0.00,253.86,0.00
18.59,Right,0.00,632.14,12.47
18.59,Left,0.00,301.19,0.00
18.65,Right,0.00,632.14,12.47
18.65,Left,0.00,310.38,0.00
18.70,Right,0.00,632.14,12.47
18.70,Left,0.00,186.31,0.00
18.76,Right,0.00,632.14,12.47
18.76,Left,0.00,170.19,0.00
18.82,Right,0.00,632.14,12.47
18.82,Left,0.00,159.92,0.00
18.88,Right,0.00,632.14,12.47
18.88,Left,0.00,101.64,0.00
18.94,Right,0.00,632.14,12.47
18.94,Left,0.00,96.26,0.00
19.00,Right,0.00,632.14,12.47
19.00,Left,0.00,108.19,0.00
19.07,Right,0.00,632.14,12.47
19.07,Left,0.00,277.78,0.00
19.12,Right,0.00,632.14,12.47
19.12,Left,0.00,325.38,0.00
19.17,Right,0.00,632.14,12.47
19.17,Left,0.00,333.87,0.00
19.23,Right,0.00,632.14,12.47
19.23,Left,0.00,353.87,0.00
19.30,Right,0.00,632.14,12.47
19.30,Left,0.00,443.61,0.00
19.35,Right,0.00,632.14,12.47
19.35,Left,0.00,391.07,0.00
19.41,Right,0.00,632.14,12.47
19.41,Left,0.00,372.21,0.00
19.47,Right,0.00,632.14,12.47
19.47,Left,0.00,411.60,0.00
19.52,Right,0.00,632.14,12.47
19.52,Left,0.00,273.13,0.00
19.58,Right,0.00,632.14,12.47
19.58,Left,0.00,188.15,0.00
19.64,Right,0.00,632.14,12.47
19.64,Left,0.00,277.61,0.00
19.70,Right,0.00,632.14,12.47
19.70,Left,0.00,272.44,0.00
19.77,Right,0.00,632.14,12.47
19.77,Left,0.00,578.87,0.00
19.82,Right,0.00,632.14,12.47
19.82,Left,0.00,719.85,0.00
19.89,Right,0.00,632.14,12.47
19.89,Left,0.00,830.96,0.00
19.94,Right,0.00,632.14,12.47
19.94,Left,0.00,647.50,0.00
20.01,Right,0.00,632.14,12.47
20.01,Left,0.00,590.94,0.00
20.06,Right,0.00,632.14,12.47
20.06,Left,0.00,467.76,0.00
20.12,Right,0.00,632.14,12.47
20.12,Left,0.00,409.99,0.00
20.19,Right,0.00,632.14,12.47
20.19,Left,0.00,250.41,0.00
20.24,Right,0.00,632.14,12.47
20.24,Left,0.00,227.94,0.00
20.31,Right,0.00,632.14,12.47
20.31,Left,0.00,317.59,0.00
20.35,Right,0.00,632.14,12.47
20.35,Left,0.00,337.13,0.00
20.42,Right,0.00,632.14,12.47
20.42,Left,0.00,436.49,0.00
20.47,Right,0.00,632.14,12.47
20.47,Left,0.00,461.61,0.00
20.53,Right,0.00,632.14,12.47
20.53,Left,0.00,464.51,0.00
20.59,Right,0.00,632.14,12.47
20.59,Left,0.00,418.70,0.00
20.65,Right,0.00,632.14,12.47
20.65,Left,0.00,444.96,0.00
20.71,Right,0.00,632.14,12.47
20.71,Left,0.00,272.06,0.00
20.77,Right,0.00,632.14,12.47
20.77,Left,0.00,191.24,0.00
20.83,Right,0.00,632.14,12.47
20.83,Left,0.00,152.91,0.00
20.89,Right,0.00,632.14,12.47
20.89,Left,0.00,185.10,0.00
20.95,Right,0.00,632.14,12.47
20.95,Left,0.00,138.70,0.00
21.01,Right,0.00,632.14,12.47
21.01,Left,0.00,185.05,0.00
21.08,Right,0.00,632.14,12.47
21.08,Left,0.00,362.40,0.00
21.15,Right,0.00,632.14,12.47
21.15,Left,0.00,491.53,0.00
21.21,Right,0.00,632.14,12.47
21.21,Left,0.00,542.60,0.00
21.27,Right,0.00,632.14,12.47
21.27,Left,0.00,628.73,0.00
21.34,Right,0.00,632.14,12.47
21.34,Left,0.00,778.13,0.00
21.38,Right,0.00,632.14,12.47
21.38,Left,0.00,808.41,0.00
21.45,Right,0.00,632.14,12.47
21.45,Left,0.00,741.71,0.00
21.51,Right,0.00,632.14,12.47
21.51,Left,0.00,642.51,0.00
21.58,Right,0.00,632.14,12.47
21.58,Left,0.00,495.67,0.00
21.62,Right,0.00,632.14,12.47
21.62,Left,0.00,355.32,0.00
21.68,Right,0.00,632.14,12.47
21.68,Left,0.00,327.50,0.00
21.74,Right,0.00,632.14,12.47
21.74,Left,0.00,434.14,0.00
21.80,Right,0.00,632.14,12.47
21.80,Left,0.00,355.59,0.00
21.86,Right,0.00,632.14,12.47
21.86,Left,0.00,317.38,0.00
21.92,Right,0.00,632.14,12.47
21.92,Left,0.00,352.23,0.00
21.98,Right,0.00,632.14,12.47
21.98,Left,0.00,512.08,0.00
